template_id	template_smarts	reaction_class_id	reaction_name	annotation_method	annotation_confidence	example_reactants	example_product
101	[C$(C(C)([CX4])([CX4])([CX4])),C$([CH](C)([CX4])([CX4])),C$([CH2](C)([CX4])),C$([CH3](C)):1][C:2]#[CH:3].[Cl,Br,I][C$(C(=O)([CX4])),C$([CH](=O)):5]=[O:6]>>[#6:1][C:2]#[C:3][C:5]=[O:6]	3.3.1	uncategorized sonogashira coupling	rxnfp-50	0.9998241647057989	C#CC|CC(=O)Cl	CC#CC(C)=O
102	[#6:1][C;H1,$([CH0]([#6])[#6]);!$(CC=O):2]=[OD1].[Cl,Br,I][C;H2;$(C[#6]);!$(CC[I,Br]);!$(CCO[CH3]):3]>>[C:1][C:2]=[C:3]	Wittig	Wittig	smarts-rules	1.0	CC=O|CCBr	CC=CC
103	[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$([N][N])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]	Buchwald-Hartwig	Buchwald-Hartwig	smarts-rules	1.0	Brc1ccccc1|CN	CNc1ccccc1
104	[C;$(C([#6])[#6;!$([#6]Br)]):4](=[OD1])[CH;$(C([#6])[#6]):5]Br.[NH2:3][C;$(C(=N)(N)[#6,#7]):2]=[NH;D1:1]>>[c:4]1[c:5][nH:3][c:2][n:1]1	imidazole	imidazole	smarts-rules	1.0	CC(=O)C(C)Br|N=C(N)N	Cc1nc(N)[nH]c1C
105	[c;$(c1[c;$(c[C,S,N](=[OD1])[*;R0;!OH1])]cccc1):1][C;$(C(=O)[OH])].[c;$(c1aaccc1):2][Cl,Br,I]>>[c:1][c:2]	decarboxylative_coupling	decarboxylative_coupling	smarts-rules	1.0	CNC(=O)c1ccccc1C(=O)O|Brc1ccccc1	CNC(=O)c1ccccc1-c1ccccc1
106	[N;$(N[#6]):1]=[C;$(C=O):2].[N;$(N[#6]);!$(N=*);!$([N-]);!$(N#*);!$([ND3]);!$([ND4]);!$(N[O,N]);!$(N[C,S]=[S,O,N]):3]>>[N:1][C:2][N+0:3]	urea	urea	smarts-rules	1.0	CN=C=O|CN	CNC(=O)NC
107	[OH,O-][C$(C(=O)([OH,O-])([CX4])),C$([CH](=O)([OH,O-])):1]=[O:2]>>[Cl][C:1]=[O:2]	9.1.6	uncategorized hydroxy to chloro	rxnfp-50	0.8763184561791095	O=CO	O=CCl
108	[OH][$([CX4]),c:1]>>[Br][#6:1]	10.1.1	uncategorized bromination	rxnfp-50	0.9971560819877904	CO	CBr
109	[OH][$([CX4]),c:1]>>[Cl][#6:1]	9.1.6	uncategorized hydroxy to chloro	rxnfp-50	0.6697429454239273	CO	CCl
110	[OH,O-][S$(S([CX4])):1](=[O:2])=[O:3]>>[Cl][S:1](=[O:2])=[O:3]	10.1.2	uncategorized chlorination	rxnfp-50	0.9174672910257357	O=S(=O)(O)C(F)(F)F	O=S(=O)(Cl)C(F)(F)F
111	[OH+0,O-:1][C:2](=[O:3])[C$([CH]([CX4])),C$([CH2]):4]>>[#8:1][C:2](=[O:3])[C:4][Br]	10.1.1	uncategorized bromination	rxnfp-50	0.9958330813154476	NCC(=O)O	NC(Br)C(=O)O
112	[OH+0,O-:1][C:2](=[O:3])[C$([CH]([CX4])),C$([CH2]):4]>>[#8:1][C:2](=[O:3])[C:4][Cl]	10.1.2	uncategorized chlorination	rxnfp-50	0.9995756818890238	NCC(=O)O	NC(Cl)C(=O)O
113	[Cl,Br,I][C$(C([CX4,c])([CX4,c])([CX4,c])),C$([CH]([CX4,c])([CX4,c])),C$([CH2]([CX4,c])),C$([CH3]),c$(c):1]>>[N]#[C][#6:1]	2.1.7	uncategorized n-acetylation	rxnfp-50	0.4305205671225552	CCl	CC#N
114	[OH,NH2,NH3+][CH2:2][C$(C([CX4,c])([CX4,c])([CX4,c])),C$([CH]([CX4,c])([CX4,c])),C$([CH2]([CX4,c])),C$([CH3]),c$(c):1]>>[#6:1][C:2]#[N]	10.4.2	uncategorized methylation	rxnfp-50	0.8601232525611097	CCN	CC#N
